pubmed_id	journal_nlm_id	pub	epub	accepted_0	entrez_0	medline_0	pubmed_0	received_0	published
20081222	9808944	2010-03-01	2010-01-16		2010-01-19	2010-06-18	2010-01-19		
21736753	101319161	2011-07-07	2011-07-07	2011-07-07	2011-07-09	2011-07-09	2011-07-09	2010-10-19	
25648772	101603425	2015-01-13	2015-01-13	2014-11-30	2015-02-05	2015-02-05	2015-02-05	2014-11-04	
25915600	9216904		2015-04-27	2015-03-06	2015-04-28	2015-08-08	2015-04-29	2014-12-10	
26158728	101238922	2015-07-09	2015-07-09	2015-03-26	2015-07-10	2016-03-24	2015-07-15	2014-12-10	
27094199	101489144			2016-03-08	2016-04-21	2017-01-07	2016-04-21	2015-09-11	
