journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0105072	Acceptance	 -14.72988	  -9.02975	 0.00e+00
0105072	Publication	  -3.73633	 -18.49027	8.18e-263
0107305	Acceptance	 -80.41966	 -32.10691	 6.24e-08
0107305	Publication	 -76.07794	-107.62417	 3.84e-13
0110674	Acceptance	  -1.06904	  -1.27755	 3.82e-23
0110674	Publication	  -1.99142	  -5.54526	1.34e-162
0111356	Publication	-255.45778	-235.33939	 9.75e-33
0113724	Acceptance	   3.61783	   6.29529	 4.95e-01
0113724	Publication	  -2.53200	 -27.27502	 3.27e-01
0114365	Acceptance	   7.39658	   5.69591	 5.94e-16
0114365	Publication	  -7.59014	  -8.49732	 5.05e-15
0116711	Acceptance	   7.16175	   4.69583	 2.88e-31
0116711	Publication	  -4.97952	 -14.18110	3.39e-189
0116744	Acceptance	   2.72077	   2.47112	 2.12e-01
0116744	Publication	  -2.01209	  -2.91556	 5.06e-02
0120775	Acceptance	   8.02050	   5.96760	 6.15e-06
0120775	Publication	 -16.11888	 -11.37904	 3.38e-10
0125444	Acceptance	  -4.47768	  -3.95304	 1.00e-11
0125444	Publication	  -9.71122	 -10.52651	 4.80e-05
0126611	Acceptance	   5.29700	   2.33084	 1.72e-03
0126611	Publication	 -12.18502	 -10.85874	 2.51e-32
0133660	Acceptance	  -5.24950	  -4.73776	 3.34e-45
0133660	Publication	  -2.36790	 -14.99611	1.46e-153
0134516	Acceptance	 -50.32950	 -31.91024	 1.33e-21
0134516	Publication	  -0.48634	  -0.69940	 7.32e-01
0135043	Acceptance	  -2.33470	  -0.98986	 4.37e-02
0135043	Publication	   9.14640	   5.56459	 4.70e-13
0135054	Acceptance	  -6.99108	  -6.71173	 1.19e-32
0135054	Publication	 -12.31893	  -9.51551	 2.20e-86
0135232	Acceptance	  17.09236	  17.98320	 7.81e-05
0135232	Publication	  22.32632	  23.77365	 5.98e-07
0137162	Publication	   8.78936	  22.29951	 1.30e-28
0137356	Acceptance	  -5.62406	  -3.67029	 1.76e-18
0137356	Publication	  -5.58181	  -5.93135	 1.22e-34
0140722	Acceptance	   8.75232	   4.86227	 4.48e-01
0140722	Publication	  -6.44929	 -23.95802	 7.36e-03
0141053	Acceptance	  -1.13265	  -1.11223	 7.51e-02
0141053	Publication	   4.32262	   4.28858	 5.17e-13
0142167	Acceptance	 -10.40030	  -6.85505	 2.59e-03
0142167	Publication	  -0.66830	  -2.47969	 5.44e-03
0142657	Acceptance	   7.59963	   4.31469	 7.43e-03
0142657	Publication	  -8.34186	 -14.08592	 7.16e-20
0144731	Acceptance	  -8.76316	  -4.67285	 7.44e-28
